text,is_scam,scam_type,platform
"""Hey gorgeous! Just saw your profile. Want to be a model? $5000/shoot 📸""",True,impersonation,instagram
"""⚠️ WhatsApp Security Alert: Account needs verification. Click: wa-verify.net""",True,phishing,whatsapp
"""🚀 VIP Crypto signals group! 100x gains daily. Join now: t.me/crypto_vip""",True,other,other
"""Hi! I represent Zara. Want to be our brand ambassador? DM for details!""",True,other,instagram
"""Final warning: Your WhatsApp will expire! Update here: whatsapp-new.net""",True,urgent,whatsapp
"""Exclusive NFT presale! Guaranteed profit. Join: t.me/nft_whales""",True,other,other
"""Make $500/day from home! Join our trading group: t.me/forex_profits""",True,other,other
"""Instagram copyright violation! Verify to avoid deletion: ig-verify.net""",True,phishing,instagram
"""Hi dear, I saw your profile. I'm lonely soldier in Syria. Can we chat?""",True,other,whatsapp
"""Get 50k real followers! Special offer $10 only. DM fast! 📈""",True,other,instagram
"""URGENT: WhatsApp Pink version released! Download: whatsapp-pink.net",True,urgent,whatsapp
"Binance pump group! Next signal: 1000% profit. Join: t.me/pump_alerts""",True,financial,other
"Congrats! You won iPhone 15 Pro! Claim: prize-winner.net/claim""",True,other,instagram
"""Your WhatsApp needs immediate verification: whatsapp-team.net/verify""",True,phishing,whatsapp
"""Best crypto signals! 99.9% accuracy. VIP spots open: t.me/whale_calls""",True,financial,other
"""Want to earn $3000/week modeling? Small fee required. DM now! 🔥""",True,other,instagram
"""⚠️ Account suspension warning! Verify: whatsapp-support.net"",1,phishing,whatsapp
""Private trading group! $100 = $5000 weekly. Join: t.me/trading_vip""",True,financial,other
"""Get verified on Instagram! Blue tick 100% guaranteed. DM for price""",True,impersonation,instagram
"""Hello, I'm dying and want to donate $5M to charity through you.""",True,financial,whatsapp
"""Hey! You just won $5,000 cash in our Facebook giveaway! Reply with your PayPal ID now to claim!""",True,other,instagram
"""We are giving away 1,000 MacBooks to lucky Instagram users! Click here to be our next winner ➡️ [scamlink.com]""",True,other,instagram
"""You have been selected for a TikTok anniversary reward. Confirm your win now: [fraudsite.co/confirm]""",True,other,other
